template,proportion
The [X] met for lunch that [Y],1
The [X] promised the fish that [Y],1
The [X] questioned the idea that [Y],1
The [X] saw Jonah and [Y],1
The [X] asked Addas [Y],1
The [X] was shocked because [Y],1
The [X] took the idea that [Y],1
The [X] grew on Street that [Y],1
The [X] began these additions that [Y],1
The [X] bought contract and [Y],1
The [X] joined the program that [Y],1
The [X] was a success but [Y],1
The [X] spent in Europe that [Y],1
The [X] recognized Kermit though [Y],1
The [X] sung the World that [Y],1
The [X] was a opponent as [Y],1
The [X] wanted a book that [Y],1
The [X] concluded the work that [Y],1
The [X] worked for architects that [Y],1
The [X] moved in 1975 that [Y],1
The [X] majored in design that [Y],1
The [X] was a graduate and [Y],1
The [X] wrote for years that [Y],1
The [X] wrote any culture that [Y],1
The [X] hopped elevate Azad but [Y],1
The [X] characterized Menon that [Y],1
The [X] commissioned the study that [Y],1
The [X] authorised the Army that [Y],1
The [X] remained unconscious until [Y],1
The [X] became the minister and [Y],1
The [X] made with whom that [Y],1
The [X] tried school but [Y],1
The [X] deteriorated and [Y],1
The [X] was proud and [Y],1
The [X] told Friedman [Y],1
The [X] thought on phone that [Y],1
The [X] wrote the her that [Y],1
The [X] wrote At bar that [Y],1
The [X] met an whom that [Y],1
The [X] was witty and [Y],1
The [X] remarried to Triplet that [Y],1
"The [X] wielded r""- and [Y]",1
The [X] defended Rushton that [Y],1
The [X] spoke on eugenics that [Y],1
The [X] remained through 1994 that [Y],1
The [X] sought advice and [Y],1
The [X] responded to joke that [Y],1
The [X] was 23 [Y],1
The [X] enlisted as private that [Y],1
The [X] became a star [Y],1
The [X] made no films that [Y],1
The [X] adopted sons and [Y],1
The [X] was Soediro until [Y],1
The [X] skipped school [Y],1
The [X] told Ruby that [Y],1
The [X] concluded part that [Y],1
The [X] told Grammer [Y],1
The [X] presented evidence [Y],1
The [X] claimed me [Y],1
The [X] doctored that [Y],1
The [X] was a contributor [Y],1
The [X] made contact that [Y],1
The [X] was a comedian [Y],1
The [X] wanted aware [Y],1
The [X] dismissed claims that [Y],1
The [X] refused though [Y],1
The [X] told Randi that [Y],1
The [X] appeared with Browne that [Y],1
The [X] agreed what [Y],1
The [X] appeared on show that to answer [Y],1
The [X] announced the diagnosis that [Y],1
The [X] voiced criticism [Y],1
The [X] identified phases and [Y],1
The [X] had the desire that [Y],1
The [X] met Kendrew and [Y],1
The [X] continued a member though [Y],1
The [X] described Watson that [Y],1
The [X] started school [Y],1
The [X] obtained a DSc that [Y],1
The [X] worked the what that [Y],1
The [X] became caesar and [Y],1
The [X] told Julian that [Y],1
The [X] sought reduce what [Y],1
The [X] wanted give what [Y],1
The [X] brought nothing so [Y],1
The [X] attested to amount that [Y],1
The [X] travelled from Königsberg that [Y],1
The [X] became Duke although [Y],1
The [X] married member and [Y],1
The [X] thought that something [Y],1
The [X] studied etching [Y],1
The [X] traced the influence that [Y],1
The [X] observed of God that [Y],1
The [X] noted a scientist that [Y],1
The [X] wrote a figure that [Y],1
The [X] died old as [Y],1
The [X] began the banding that [Y],1
The [X] met with acceptance that [Y],1
The [X] was dispirited or [Y],1
The [X] commissioned to Corps that [Y],1
The [X] experienced a rise that [Y],1
The [X] became a friend and [Y],1
The [X] altered the catchphrase that [Y],1
The [X] faced calls that [Y],1
The [X] toured Europe [Y],1
The [X] appeared It and [Y],1
The [X] was a drinker and [Y],1
The [X] named McCarthy and [Y],1
The [X] worked but [Y],1
The [X] payed the duties that [Y],1
The [X] dared to hope that [Y],1
The [X] became estranged [Y],1
The [X] commanded militiamen although [Y],1
The [X] remained silent as [Y],1
The [X] was prolific though [Y],1
The [X] wrote than individual that [Y],1
The [X] stopped writing fiction after [Y],1
The [X] lost manuscript [Y],1
The [X] suggested ideas for [Y],1
The [X] recounted sent Equations that [Y],1
The [X] talked a deal that [Y],1
The [X] concluded no way that [Y],1
The [X] wrote the product that [Y],1
The [X] preached homilies [Y],1
The [X] reached this destination that [Y],1
The [X] denied the accusation that [Y],1
The [X] repaid the damages that [Y],1
The [X] wrote the memoir that [Y],1
The [X] beloved of women that [Y],1
The [X] wrote music or [Y],1
The [X] found a him that [Y],1
The [X] wrote of contradiction that [Y],1
The [X] refused quiet [Y],1
The [X] seemed the glory that [Y],1
The [X] arrived in Warsaw that [Y],1
The [X] returned to television that to film [Y],1
The [X] asked Frankenheimer [Y],1
The [X] refused the film that [Y],1
The [X] knew a threat that [Y],1
The [X] worked as Analyst that [Y],1
The [X] joined the Corporation that [Y],1
The [X] reprised it [Y],1
The [X] created compilers and [Y],1
The [X] delighted the opposite and [Y],1
The [X] decided questions or [Y],1
The [X] moved from discussion that [Y],1
The [X] entered Emory and [Y],1
The [X] grew a beard that [Y],1
The [X] developed a piece that [Y],1
The [X] organized a raid that [Y],1
The [X] lived in Saltville that [Y],1
The [X] came the financier and [Y],1
The [X] was on shortlist that [Y],1
The [X] called the name that [Y],1
The [X] told the Telegraph that [Y],1
The [X] said to me that [Y],1
The [X] headed the list that [Y],1
The [X] arrived the which that [Y],1
The [X] grouped the hundreds that [Y],1
The [X] proposed of families that [Y],1
The [X] continued on project that to work [Y],1
The [X] allowed philosophers [Y],1
The [X] quoth from Book that [Y],1
The [X] became the transfer and [Y],1
The [X] went to Kraków that [Y],1
The [X] took a oath that [Y],1
The [X] managed a gigs that [Y],1
The [X] made a decision that [Y],1
The [X] went the demos that [Y],1
The [X] participated the Dylan that [Y],1
The [X] filmed portions [Y],1
The [X] returned to Australia that [Y],1
The [X] entered parliament [Y],1
The [X] offended anyone and [Y],1
The [X] abandoned all work that [Y],1
The [X] played sports while [Y],1
The [X] turned the keys that [Y],1
The [X] found the Company that [Y],1
The [X] attended the Seminary that [Y],1
The [X] worked as hostler that [Y],1
The [X] told Abbey that [Y],1
The [X] reached Rome [Y],1
The [X] was the unpoetical because [Y],1
The [X] immigrated to Israel that [Y],1
The [X] was a student that [Y],1
The [X] remarked an that that [Y],1
The [X] travelled Arabic so [Y],1
The [X] wanted in position that to be [Y],1
The [X] brought a medic that [Y],1
The [X] appointed Ashcroft [Y],1
The [X] asserted liberties that [Y],1
The [X] composed a titled that [Y],1
The [X] had an career that [Y],1
The [X] was a magician that [Y],1
The [X] continued in shows that to appear [Y],1
The [X] explained on Time that [Y],1
The [X] had approaches [Y],1
The [X] commanded the favour that [Y],1
The [X] said in philosophy that [Y],1
The [X] allowed of him that [Y],1
The [X] was metaphorical but [Y],1
The [X] noted the absence that [Y],1
The [X] introduced symbols and [Y],1
The [X] engaged the army that [Y],1
The [X] claimed this history that [Y],1
The [X] stopped on Gaussian that working [Y],1
The [X] found one though [Y],1
The [X] advocated beliefs and [Y],1
The [X] found because [Y],1
The [X] supported campaign and [Y],1
The [X] told Carlson that [Y],1
The [X] denounced teachings and [Y],1
The [X] said against regime that [Y],1
The [X] apologized what [Y],1
The [X] declined an invitation that [Y],1
The [X] drank or [Y],1
The [X] remained in trench that [Y],1
The [X] signed an document that [Y],1
The [X] agreed wear clothing [Y],1
The [X] came from village that [Y],1
The [X] was lady and [Y],1
The [X] concluded on adherence that [Y],1
The [X] wore dresses [Y],1
The [X] saw plan [Y],1
The [X] got the name that [Y],1
The [X] refused take blessing [Y],1
The [X] phenolled which [Y],1
The [X] received orders [Y],1
The [X] returned to Corps that [Y],1
The [X] served as Fellow that [Y],1
The [X] afforded to university that to go [Y],1
The [X] said it and [Y],1
The [X] believed the sort that [Y],1
The [X] attracted comment [Y],1
The [X] implied in system that [Y],1
The [X] disliked idea [Y],1
The [X] spent the weeks that [Y],1
The [X] considered humiliating and [Y],1
The [X] agreed to demands that [Y],1
The [X] worked with SS that [Y],1
The [X] claimed the decisions that [Y],1
The [X] managed a court that [Y],1
The [X] stopped this charter that [Y],1
The [X] refused request that [Y],1
The [X] payed some [Y],1
The [X] proved a prodigy before [Y],1
The [X] lived in Smyrna that [Y],1
The [X] was known to audiences that [Y],1
The [X] disclosed in interview that [Y],1
The [X] arrived in Prince that [Y],1
The [X] argued because status that [Y],1
The [X] garnered sales and [Y],1
The [X] liked draw places and [Y],1
The [X] remained until 1939 that [Y],1
The [X] approached Lee and [Y],1
The [X] leaved Publications and [Y],1
The [X] agreed the company that [Y],1
The [X] picked the book that [Y],1
The [X] improved it as [Y],1
The [X] was a Star and [Y],1
The [X] was a figure but [Y],1
The [X] opted the spot that [Y],1
The [X] returned to Factor that [Y],1
The [X] showed skill and [Y],1
The [X] was a mechanic before [Y],1
The [X] retired to Australia that [Y],1
The [X] continued for Cooper that to drive [Y],1
The [X] tied Stewart [Y],1
The [X] lived an life that [Y],1
The [X] entered the Kingdom that [Y],1
The [X] inherited a estate that [Y],1
The [X] moved to Plzeň that [Y],1
The [X] gave accounts that [Y],1
The [X] moved to Kraljevica that [Y],1
The [X] used the latter that [Y],1
The [X] gave no nickname that [Y],1
The [X] decided send him and [Y],1
The [X] attended as one that [Y],1
The [X] wrote to Comintern that [Y],1
The [X] placed a school that [Y],1
The [X] stayed in Belgrade that [Y],1
The [X] believed in manner that [Y],1
The [X] grew restive and [Y],1
The [X] sailed the House that [Y],1
The [X] wrote editorials and [Y],1
The [X] indicated active that [Y],1
The [X] passed what [Y],1
The [X] knew with positions that [Y],1
The [X] warned exclude Britain that [Y],1
The [X] learnt of it that [Y],1
The [X] greeted him and [Y],1
The [X] bathed for condition that [Y],1
The [X] asked her until [Y],1
The [X] discovered body [Y],1
The [X] acted as director that [Y],1
The [X] hated guitar but [Y],1
The [X] noted reminiscent that [Y],1
The [X] had the urge that [Y],1
The [X] worked the Game that [Y],1
The [X] continued what [Y],1
The [X] told the assembly that [Y],1
The [X] delivered untouched and [Y],1
The [X] worked in Beirut that [Y],1
The [X] thought the actor but [Y],1
The [X] dropped out school that [Y],1
The [X] portrayed the character that [Y],1
The [X] drove on Boulevard that [Y],1
The [X] was irreligious that [Y],1
The [X] was a musician [Y],1
The [X] said hard but [Y],1
The [X] began with result that to withdraw [Y],1
The [X] wished to tour as [Y],1
The [X] felt in 1981 that was end [Y],1
The [X] intended the sound that [Y],1
The [X] used the Stick that [Y],1
The [X] was opposed the which that [Y],1
The [X] dreamt that facility that [Y],1
The [X] managed a position that [Y],1
The [X] believed a contrast that [Y],1
The [X] began reject historicism [Y],1
The [X] said In 1974 that [Y],1
The [X] wrote in Structure that [Y],1
The [X] asked a group that [Y],1
The [X] commented volunteers that [Y],1
The [X] refused in attack that to engage [Y],1
The [X] thought the part and [Y],1
The [X] resisted popular because [Y],1
The [X] denounced the process that [Y],1
The [X] began the Allies that [Y],1
The [X] promised under control that [Y],1
The [X] saw Gaulle and [Y],1
The [X] chose the misjudgement that [Y],1
The [X] was open as [Y],1
The [X] reported travelling what [Y],1
The [X] decided to convert [Y],1
The [X] participated in battles that [Y],1
The [X] remained committed because [Y],1
The [X] came a system that [Y],1
The [X] became President after [Y],1
The [X] unitted the communities that [Y],1
The [X] butaritaried which and [Y],1
The [X] liked Westeby as [Y],1
The [X] befriended a student that [Y],1
The [X] claimed during periods that [Y],1
The [X] formed Matter after [Y],1
The [X] found anyone [Y],1
The [X] received threats as [Y],1
The [X] broke dates because [Y],1
The [X] talked the lists that [Y],1
The [X] captured interview as [Y],1
The [X] looked bunk that [Y],1
The [X] said of memorabilia that [Y],1
The [X] used a prototype that [Y],1
The [X] commanded a unit that [Y],1
The [X] supported the decriminalization that [Y],1
The [X] confirmed to Press that [Y],1
The [X] announced an that that [Y],1
The [X] announced on December that [Y],1
The [X] studied theory but [Y],1
The [X] travelled to U.S. that [Y],1
The [X] developed the ideas that [Y],1
The [X] nimburskied whom [Y],1
The [X] confided in them that [Y],1
The [X] criticised governments as [Y],1
The [X] broke with Feuerbach that [Y],1
The [X] set a newspaper that [Y],1
The [X] continued write articles as [Y],1
The [X] believed from value that [Y],1
The [X] defended memory that [Y],1
The [X] adapted forms [Y],1
The [X] incorporated taekkyon and [Y],1
The [X] overthrew the dynasty that [Y],1
The [X] threatened Milošević that [Y],1
The [X] visited the areas that [Y],1
The [X] refused unacceptable that [Y],1
The [X] wrote after war that [Y],1
The [X] cited passages [Y],1
The [X] invested sums that [Y],1
The [X] appeared in production that [Y],1
The [X] called the move that [Y],1
The [X] stated through Twitter that [Y],1
The [X] convened an session that [Y],1
The [X] supported intervention because [Y],1
The [X] remained the Nazi as [Y],1
The [X] allowed submarines and [Y],1
The [X] hoped sink ships than [Y],1
The [X] cracked the ciphers that [Y],1
The [X] reached the number that [Y],1
The [X] admired vocal and [Y],1
The [X] made a address that [Y],1
The [X] moved to Kajaani that [Y],1
The [X] returned to Akonlahti that [Y],1
The [X] was a element although [Y],1
The [X] was a base [Y],1
The [X] boasted the organization that [Y],1
The [X] disliked the film that [Y],1
The [X] was the chaplain and [Y],1
The [X] gave a credit that [Y],1
The [X] looked off wings that [Y],1
The [X] speculated on disc that [Y],1
The [X] returned to Bros. that [Y],1
The [X] identified as socialist that [Y],1
The [X] returned Modredus and [Y],1
The [X] was at centre that [Y],1
The [X] presided whom and [Y],1
The [X] knew right and [Y],1
The [X] charged against defendant that [Y],1
The [X] was a chance [Y],1
The [X] refused consent for [Y],1
The [X] had no guarantee that [Y],1
The [X] intervened in affairs that [Y],1
The [X] held all χ that [Y],1
The [X] noticed the edges that [Y],1
The [X] began work but [Y],1
The [X] studied at School that [Y],1
The [X] supported efforts and [Y],1
The [X] was an ruler and [Y],1
The [X] became uxorious that [Y],1
The [X] refused the coronation that [Y],1
The [X] loved Kabul that [Y],1
The [X] was minded and [Y],1
The [X] leaved Kabul but [Y],1
The [X] leaved a career that [Y],1
The [X] spoke the Times that [Y],1
The [X] leaved Yemen and [Y],1
The [X] travelled to Lumpur that [Y],1
The [X] had criticism [Y],1
The [X] resigned as head that [Y],1
The [X] won Kentucky but [Y],1
The [X] scaped to Klang that [Y],1
The [X] had something [Y],1
The [X] lived in slaughterhouse that [Y],1
The [X] said putting effort that [Y],1
The [X] disregarded ideologies [Y],1
The [X] featured the bomb that [Y],1
The [X] stated An medicine that [Y],1
The [X] attributed this humor that [Y],1
The [X] complimented the music that [Y],1
The [X] mounted tours and [Y],1
The [X] took impressed while [Y],1
The [X] gave performances and [Y],1
The [X] reviewed Kylie and [Y],1
The [X] suggested part that [Y],1
The [X] meant immune that [Y],1
The [X] cited story [Y],1
The [X] sailed the River that [Y],1
The [X] headed to Pole that [Y],1
The [X] offered million but [Y],1
The [X] was an star [Y],1
The [X] spoke to press that [Y],1
The [X] froze reporters or [Y],1
The [X] was the scorer and [Y],1
The [X] had a scene that [Y],1
The [X] was the President but [Y],1
The [X] showed rage [Y],1
The [X] stressed harmony [Y],1
The [X] wrote Devorah [Y],1
The [X] provided examples that [Y],1
The [X] was unhappy because [Y],1
The [X] added the automobiles that [Y],1
The [X] quitted DMG but [Y],1
The [X] tricked the devil that [Y],1
The [X] went of Football that to appointed [Y],1
The [X] moved to docklands that [Y],1
The [X] missed a game that [Y],1
The [X] became prolific though [Y],1
The [X] had a campaign that [Y],1
The [X] received attention until [Y],1
The [X] exclaimed for Mountain that [Y],1
The [X] grew paranoid because [Y],1
The [X] led the empire that [Y],1
The [X] explained about that [Y],1
The [X] was an seeker and [Y],1
The [X] remembered occasion [Y],1
The [X] prescribed a bottle that [Y],1
The [X] claimed in 1846 that [Y],1
The [X] extracted a number that [Y],1
The [X] dumped the oil that [Y],1
The [X] was a opponent although [Y],1
The [X] found the access that [Y],1
The [X] complained automobiles that [Y],1
The [X] undertook an plan that [Y],1
The [X] stumbled these specimen that [Y],1
The [X] advanced the knowledge that [Y],1
The [X] seemed a that that [Y],1
The [X] returned to swamp that [Y],1
The [X] was a character although [Y],1
The [X] appeared in meme that [Y],1
The [X] attacked the repeal that [Y],1
The [X] had varieties [Y],1
The [X] failed a degree that [Y],1
The [X] spent a amount that [Y],1
The [X] began producing howitzers [Y],1
The [X] suffered a fit that [Y],1
The [X] adopted the forename that [Y],1
The [X] returned secretary [Y],1
The [X] faced challenges as [Y],1
The [X] gave power and [Y],1
The [X] learnt of coup that [Y],1
The [X] became a advocate and [Y],1
The [X] grew angry as [Y],1
The [X] felt the quest that [Y],1
The [X] descended into uterus that [Y],1
The [X] returned Kenilworth [Y],1
The [X] used Kenilworth but [Y],1
The [X] sought a mechanic but [Y],1
The [X] derived the formula that [Y],1
The [X] believed in cosmology that [Y],1
The [X] grew in Columbia that [Y],1
The [X] wrote another book that [Y],1
The [X] contributed portraits and [Y],1
The [X] supported candidacy although [Y],1
The [X] noticed some Rebecca that [Y],1
The [X] died on him that [Y],1
The [X] wrote the Indians that [Y],1
The [X] refused the resignation that [Y],1
The [X] found villages and [Y],1
The [X] won but [Y],1
The [X] journeyed to Washington that [Y],1
The [X] lived in Cheriri that [Y],1
The [X] resided on farm that [Y],1
The [X] lived from spot that [Y],1
The [X] remained on Left that [Y],1
The [X] recalled glad [Y],1
The [X] described the bomb that [Y],1
The [X] said during stay that [Y],1
The [X] was of line that [Y],1
The [X] introduced a character that [Y],1
The [X] claimed poems that [Y],1
The [X] friended with parties that [Y],1
The [X] claimed the movie that [Y],1
The [X] loathed unlike book that [Y],1
The [X] experienced an awakening that [Y],1
The [X] pushed for reformation that [Y],1
The [X] became sick until [Y],1
The [X] had training and [Y],1
The [X] found the Courses that [Y],1
The [X] read a biography that [Y],1
The [X] started at age that smoking [Y],1
The [X] occupied the slope that [Y],1
The [X] declared the few that [Y],1
The [X] had no problem that [Y],1
The [X] said the time [Y],1
The [X] argued of officers that [Y],1
The [X] stood for line that [Y],1
The [X] performed in specials that [Y],1
The [X] moved to Kraków that [Y],1
The [X] hailed from Vasojevići that [Y],1
The [X] arranged leave most [Y],1
The [X] asked under tree that to buried [Y],1
The [X] supported party until [Y],1
The [X] observed a poem that [Y],1
The [X] shed tears and [Y],1
The [X] said of this that [Y],1
The [X] was credulous and [Y],1
The [X] married a communist that [Y],1
The [X] visited Fuchs [Y],1
The [X] arranged another interview that [Y],1
The [X] said the physicist that [Y],1
The [X] was this [Y],1
The [X] began with Meyerhold that to meet [Y],1
The [X] took the rehearsals that [Y],1
The [X] lived until 1996 that [Y],1
The [X] envisaged money until [Y],1
The [X] mentioned works before [Y],1
The [X] took note [Y],1
The [X] argued the Keynesianism that [Y],1
The [X] argued the struggle that [Y],1
The [X] blamed economics [Y],1
The [X] was the Theatre that [Y],1
The [X] rejoined the SD that [Y],1
The [X] served a critic that [Y],1
The [X] proclaimed a state that [Y],1
The [X] had differences but [Y],1
The [X] attempted deport Kaunda that [Y],1
The [X] made some and [Y],1
The [X] said the proteins that [Y],1
The [X] injured Bronstein [Y],1
The [X] posed for media that [Y],1
The [X] kept the appearance that [Y],1
The [X] took functions [Y],1
The [X] studied a stimulus that [Y],1
The [X] became the goalkeeper [Y],1
The [X] clarified the joke that [Y],1
"The [X] donated the 122,000 that [Y]",1
The [X] took the rejection that [Y],1
The [X] entered an Tazawa [Y],1
The [X] retained the military that [Y],1
The [X] leaved a war that [Y],1
The [X] was convinced a victory that [Y],1
The [X] met some doubt that [Y],1
The [X] gave the novella that [Y],1
The [X] questioned them that [Y],1
The [X] continued an work that [Y],1
The [X] participated in concert that [Y],1
The [X] argued similar that [Y],1
The [X] performed in Bonfire that [Y],1
The [X] revealed enjoyable that [Y],1
The [X] supported Obama as [Y],1
The [X] worked with Foundation that [Y],1
The [X] stated as abilities that [Y],1
The [X] was a cat [Y],1
The [X] lived with wife that [Y],1
The [X] called in world that [Y],1
The [X] renamed it and [Y],1
The [X] married Andersen and [Y],1
The [X] stated meet idiots If [Y],1
The [X] stopped in 1981 that dancing [Y],1
The [X] tensioned the relations that [Y],1
The [X] used terms so [Y],1
The [X] graduated attend University and [Y],1
The [X] worked voters that [Y],1
The [X] said to speech that [Y],1
The [X] mentioned having trouble that [Y],1
The [X] spoke to Inquisitr that [Y],1
The [X] found stronger than [Y],1
The [X] sought the goals that [Y],1
The [X] summarized this [Y],1
The [X] believed in model that [Y],1
The [X] enunciated this law that [Y],1
The [X] was an member but [Y],1
The [X] agreed the movie that [Y],1
The [X] visited Greece and [Y],1
The [X] thought what but [Y],1
The [X] visited Kenya and [Y],1
The [X] said The service that [Y],1
The [X] seeded a which that [Y],1
The [X] reported on corn that [Y],1
The [X] published the Mathematica that [Y],1
The [X] moved the Foundation [Y],1
The [X] wrote to Boulton that telling [Y],1
The [X] moved to Derby that [Y],1
The [X] slipped into theater that [Y],1
The [X] intimated that [Y],1
The [X] began a manuscript that [Y],1
The [X] leaved Lionhead because [Y],1
The [X] claimed cheat him [Y],1
The [X] apologised for outburst that [Y],1
The [X] promoted a return that [Y],1
The [X] answered true but [Y],1
The [X] worked for Board that [Y],1
The [X] acquired texts and [Y],1
The [X] returned to Syracuse that [Y],1
The [X] requested permission that [Y],1
The [X] declared of poets that [Y],1
The [X] was caught in struggle that [Y],1
The [X] published Vin and [Y],1
The [X] found bacteria that [Y],1
The [X] thought of vaccine that [Y],1
The [X] discovered produce spores that [Y],1
The [X] met Moore [Y],1
The [X] worked on design that [Y],1
The [X] wiped depressed and [Y],1
The [X] wanted with Frege that to study [Y],1
The [X] told Morrell & [Y],1
The [X] dominated the society that [Y],1
The [X] stated to Russell that [Y],1
The [X] wrote careful and [Y],1
The [X] revealed as teenager that [Y],1
The [X] had to Cambridge that to go [Y],1
The [X] read Karamazov that [Y],1
The [X] worked as gardener that [Y],1
The [X] focussed on windows that [Y],1
The [X] had an mm that [Y],1
The [X] lived in Norway that [Y],1
The [X] hopped to Institute that [Y],1
The [X] told no one that [Y],1
The [X] leaved for time that [Y],1
The [X] relaxed Westerns [Y],1
The [X] thought a foundation that [Y],1
The [X] started a drugs that [Y],1
The [X] moved with friends that [Y],1
The [X] saw Catholicism [Y],1
The [X] argued the meaning that [Y],1
The [X] prioritized it because [Y],1
The [X] used a mixture that [Y],1
The [X] fled to portions that [Y],1
The [X] regarded this and [Y],1
The [X] arrived in Moscow that [Y],1
The [X] regained the district that [Y],1
The [X] started to fall and [Y],1
The [X] gave an ultimatum that [Y],1
The [X] won the confidence that [Y],1
The [X] surrendered the whom that [Y],1
The [X] had the chance that [Y],1
The [X] rejected communism because [Y],1
The [X] lost the battle that [Y],1
The [X] granted parts and [Y],1
The [X] expanded connections as [Y],1
The [X] conquered Smolensk and [Y],1
The [X] went at University that to study [Y],1
The [X] decided in office that to remain [Y],1
The [X] lost the rights that [Y],1
The [X] told a convention that [Y],1
The [X] let rooms [Y],1
The [X] wrote in January that [Y],1
The [X] described Dianetics and [Y],1
The [X] took sums [Y],1
The [X] wanted every word that [Y],1
The [X] wrote in demonstration that [Y],1
The [X] established a College that [Y],1
The [X] complained able [Y],1
The [X] said Hubbard that [Y],1
The [X] introduced a device that [Y],1
The [X] implemented a scheme that [Y],1
The [X] believed checking that [Y],1
The [X] remained in hiding that [Y],1
The [X] refused a piece that [Y],1
The [X] remained unimpressed and [Y],1
The [X] asserted by stockingers that [Y],1
The [X] wrote the novel that [Y],1
The [X] thought a problem or [Y],1
The [X] videotapeed what [Y],1
The [X] submitted what [Y],1
The [X] discovered a fossil that [Y],1
The [X] created the foundations that [Y],1
The [X] displayed a lack that [Y],1
The [X] noted in London that [Y],1
The [X] refused support Lenin since [Y],1
The [X] went to Petrograd that [Y],1
The [X] published an letter that [Y],1
The [X] wrote in Life that [Y],1
The [X] countered criticism [Y],1
The [X] suffered from pressure that [Y],1
The [X] accomplished the task that [Y],1
The [X] served the department that [Y],1
The [X] led the firm that [Y],1
The [X] summed the points that [Y],1
The [X] began a type that [Y],1
The [X] wanted to recreate [Y],1
The [X] made another d'Habitation that [Y],1
The [X] moved beyond circles that [Y],1
The [X] began a building that [Y],1
The [X] worked as [Y],1
The [X] was a debater and [Y],1
The [X] wayed functions and [Y],1
The [X] asked for breakfast that to stop [Y],1
The [X] was a donor and [Y],1
The [X] described these shifts that [Y],1
The [X] discovered as plays that to exist [Y],1
The [X] was deaf and [Y],1
The [X] visited the family that [Y],1
The [X] responded to feeling that [Y],1
The [X] lent the repayment that [Y],1
The [X] attributed part [Y],1
The [X] played Football [Y],1
The [X] lost to Federer that [Y],1
The [X] faced seed [Y],1
The [X] went in Open that to play [Y],1
The [X] was seed and [Y],1
The [X] progressed into round that [Y],1
The [X] competed in Masters that [Y],1
The [X] played Hsun [Y],1
The [X] was the time and [Y],1
The [X] returned with wildcard that [Y],1
The [X] went to final that [Y],1
The [X] received a WC that [Y],1
The [X] played at Tennis that [Y],1
The [X] played at Wimbledon that [Y],1
The [X] competed at Hall that [Y],1
The [X] came the match that [Y],1
The [X] stated disgraceful and [Y],1
The [X] grew frantic [Y],1
The [X] disappeared in afternoon that [Y],1
The [X] put the money that [Y],1
The [X] stated the discussion that [Y],1
The [X] considered although [Y],1
The [X] went scepticism because [Y],1
The [X] found some characteristics that [Y],1
The [X] questioned that result [Y],1
The [X] was the first because [Y],1
The [X] brought the period that [Y],1
The [X] saw a vessel that [Y],1
The [X] introduced Europe [Y],1
The [X] was a Liberal [Y],1
The [X] leaved it than [Y],1
The [X] received to appear but [Y],1
The [X] betted Reck that [Y],1
The [X] found fossils [Y],1
The [X] set publish words as [Y],1
The [X] excavated as [Y],1
The [X] claimed true that [Y],1
The [X] moved to department that [Y],1
The [X] gave villas [Y],1
The [X] was the palace that [Y],1
The [X] employed Benedict [Y],1
The [X] publicationed of document that [Y],1
The [X] used lēthē or [Y],1
The [X] lived in Sutton that [Y],1
The [X] committed to Asylum that [Y],1
The [X] printed in Commercial that [Y],1
The [X] leaved Cincinnati [Y],1
The [X] intended serve months but [Y],1
The [X] wrote about mismanagement that [Y],1
The [X] produced popular after [Y],1
The [X] counted the Lombards that [Y],1
The [X] reigned until 628 that [Y],1
The [X] conquered Ravenna but [Y],1
The [X] attempted king but [Y],1
The [X] was a shifter and [Y],1
The [X] reminded Frigg that [Y],1
The [X] interrupted at point that [Y],1
The [X] said drunk that [Y],1
The [X] commanded silent and [Y],1
The [X] sat full yet [Y],1
The [X] appeared in Edda that [Y],1
The [X] invited the family that [Y],1
The [X] was first [Y],1
The [X] appeared in Ring that [Y],1
The [X] lisped in 1958 that [Y],1
The [X] accepted idea that [Y],1
The [X] locked a student that [Y],1
The [X] was in Shanxi that [Y],1
The [X] led opposition while [Y],1
The [X] named him as [Y],1
The [X] animalled a dog that [Y],1
The [X] lived and [Y],1
The [X] used the expression that [Y],1
The [X] annotated the pages that [Y],1
The [X] was victorious and [Y],1
The [X] celebrated a triumph that [Y],1
The [X] returned to Collatia that [Y],1
The [X] was a anarchist as [Y],1
The [X] peacemakerred but [Y],1
The [X] rejected the eternal that [Y],1
The [X] believed an right that [Y],1
The [X] showed opposition and [Y],1
The [X] published Restoration [Y],1
The [X] gave mention that [Y],1
The [X] adopted tactics and [Y],1
The [X] had until minutes that to wait [Y],1
The [X] returned for Test that [Y],1
The [X] was a voice although [Y],1
The [X] published some and [Y],1
The [X] composed an poem that [Y],1
The [X] moved a Bill that [Y],1
The [X] promised Strafford that [Y],1
The [X] turned to Lenthall that [Y],1
The [X] tried rally support but [Y],1
The [X] was some President and [Y],1
The [X] lost these positions that [Y],1
The [X] deserved it if [Y],1
The [X] received with Hahn that [Y],1
The [X] leaved service and [Y],1
The [X] treated him and [Y],1
The [X] observed Leonardo that [Y],1
The [X] found the system that [Y],1
The [X] was as genius that [Y],1
The [X] interpreted arbitrary that [Y],1
The [X] intended after Olympics that to continue [Y],1
The [X] did a event that [Y],1
The [X] leaved the movement that [Y],1
The [X] was in Kaunas that [Y],1
The [X] was convinced within glass that [Y],1
The [X] reported in 1747 that [Y],1
The [X] found possible that [Y],1
The [X] relented Eurydice that [Y],1
The [X] acquiesced that [Y],1
The [X] introduced switching theory [Y],1
The [X] increased the effect that [Y],1
The [X] urged the extermination that [Y],1
The [X] was a Methodist but [Y],1
